Entity,Code,Year,Electric cars sold
Australia,AUS,2011,49
Australia,AUS,2012,250
Australia,AUS,2013,290
Australia,AUS,2014,1320
Australia,AUS,2015,1760
Australia,AUS,2016,1370
Australia,AUS,2017,2300
Australia,AUS,2018,3600
Australia,AUS,2019,9200
Australia,AUS,2020,6900
Australia,AUS,2021,20400
Australia,AUS,2022,38900
Australia,AUS,2023,98000
Australia,AUS,2024,114000
Australia,AUS,2025,133000
Austria,AUT,2013,650
Austria,AUT,2014,1700
Austria,AUT,2015,2800
Austria,AUT,2016,5000
Austria,AUT,2017,7100
Austria,AUT,2018,9100
Austria,AUT,2019,11500
Austria,AUT,2020,23600
Austria,AUT,2021,48000
Austria,AUT,2022,47000
Austria,AUT,2023,65000
Austria,AUT,2024,62000
Austria,AUT,2025,90000
Belgium,BEL,2010,56
Belgium,BEL,2011,296
Belgium,BEL,2012,910
Belgium,BEL,2013,560
Belgium,BEL,2014,1950
Belgium,BEL,2015,3900
Belgium,BEL,2016,9200
Belgium,BEL,2017,14700
Belgium,BEL,2018,13200
Belgium,BEL,2019,17700
Belgium,BEL,2020,47000
Belgium,BEL,2021,71000
Belgium,BEL,2022,97000
Belgium,BEL,2023,193000
Belgium,BEL,2024,197000
Belgium,BEL,2025,180000
Brazil,BRA,2010,10
Brazil,BRA,2011,8
Brazil,BRA,2012,40
Brazil,BRA,2013,72
Brazil,BRA,2014,61
Brazil,BRA,2015,89
Brazil,BRA,2016,177
Brazil,BRA,2017,430
Brazil,BRA,2018,410
Brazil,BRA,2019,1940
Brazil,BRA,2020,2600
Brazil,BRA,2021,13900
Brazil,BRA,2022,18500
Brazil,BRA,2023,52000
Brazil,BRA,2024,126000
Brazil,BRA,2025,178000
Canada,CAN,2011,520
Canada,CAN,2012,1920
Canada,CAN,2013,3100
Canada,CAN,2014,5100
Canada,CAN,2015,6800
Canada,CAN,2016,11600
Canada,CAN,2017,16700
Canada,CAN,2018,44000
Canada,CAN,2019,51000
Canada,CAN,2020,51000
Canada,CAN,2021,87000
Canada,CAN,2022,115000
Canada,CAN,2023,171000
Canada,CAN,2024,252000
Canada,CAN,2025,168000
Chile,CHL,2011,6
Chile,CHL,2012,5
Chile,CHL,2013,5
Chile,CHL,2014,19
Chile,CHL,2015,36
Chile,CHL,2016,31
Chile,CHL,2017,135
Chile,CHL,2018,198
Chile,CHL,2019,305
Chile,CHL,2020,239
Chile,CHL,2021,860
Chile,CHL,2022,1770
Chile,CHL,2023,2110
Chile,CHL,2024,5600
Chile,CHL,2025,8700
China,CHN,2010,1440
China,CHN,2011,5120
China,CHN,2012,9860
China,CHN,2013,15730
China,CHN,2014,74000
China,CHN,2015,211000
China,CHN,2016,339000
China,CHN,2017,580000
China,CHN,2018,1090000
China,CHN,2019,1070000
China,CHN,2020,1150000
China,CHN,2021,3250000
China,CHN,2022,6000000
China,CHN,2023,8200000
China,CHN,2024,11300000
China,CHN,2025,13300000
Denmark,DNK,2011,422
Denmark,DNK,2012,502
